AggregatingReferenceBT	InstanceBT	DEXT_TO_ADD
Electrical Design	Electrical Geometry	AIRBUS_E_DEXT_Instance_EPASSY
EHI	Electrical Geometry	AIRBUS_E_DEXT_ValidationDate
EHI	Electrical Geometry	AIRBUS_E_DEXT_Instance_EPASSY
Electrical Geometry	Electrical Branch Geometry	AIRBUS_E_DEXT_ValidationDate
Electrical Geometry	Electrical Branch Geometry	AIRBUS_E_DEXT_Instance_EPASSY
Electrical Design	Electrical Physical System	AIRBUS_E_DEXT_Instance_EPASSY
Electrical Design	Electrical Physical System	AIRBUS_E_DEXT_ValidationDate
EHI	Electrical Physical System	AIRBUS_E_DEXT_Instance_EPASSY
EHI	Electrical Physical System	AIRBUS_E_DEXT_ValidationDate
EM	3DEQ	AIRBUS_E_DEXT_ValidationDate
EM	3DEQ	AIRBUS_E_DEXT_Instance_EPASSY
3DEQ	3DEQ	AIRBUS_E_DEXT_ValidationDate
3DEQ	3DEQ	AIRBUS_E_DEXT_Instance_EPASSY
EM	3DEQ	AIRBUS_E_DEXT_RPTech
3DEQ	3DEQ	AIRBUS_E_DEXT_RPTech
EM	Dummy Non 3D CAD	AIRBUS_E_DEXT_ValidationDate
EM	Dummy Non 3D CAD	AIRBUS_E_DEXT_Instance_EPASSY
Dummy Non 3D CAD	EM	AIRBUS_E_DEXT_RPTech
Dummy Non 3D CAD	Specialized Item	AIRBUS_E_DEXT_ValidationDate
Dummy Non 3D CAD	Specialized Item	AIRBUS_E_DEXT_Instance_EPASSY
EM	Design Simulation	AIRBUS_E_DEXT_Instance_EPASSY
EM	Design Simulation	AIRBUS_E_DEXT_ValidationDate
Design Simulation	Design Simulation	AIRBUS_E_DEXT_Instance_EPASSY
Refer To	Elementary Part	AIRBUS_E_DEXT_ValidationDate
Refer To	StandardPart	AIRBUS_E_DEXT_ValidationDate
Refer To	Storable Assembly	AIRBUS_E_DEXT_ValidationDate
Refer To	Refer To	AIRBUS_E_DEXT_ValidationDate
EM	Project Definition	AIRBUS_E_DEXT_Instance_EPASSY
EM	Project Definition	AIRBUS_E_DEXT_ValidationDate
Project Definition	Project Definition	AIRBUS_E_DEXT_Instance_EPASSY
Project Definition	Project Definition	AIRBUS_E_DEXT_ValidationDate
Project Definition	StandardPart	AIRBUS_E_DEXT_ValidationDate
Project Definition	StandardPart	AIRBUS_E_DEXT_Instance_EPASSY
Project Definition	FTA	AIRBUS_E_DEXT_Instance_EPASSY
Project Definition	FTA	AIRBUS_E_DEXT_ValidationDate
Project Definition	Refer To	AIRBUS_E_DEXT_ValidationDate
Project Definition	Refer To	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	Elementary Part	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	Elementary Part	AIRBUS_E_DEXT_ValidationDate
Early Data Drop	Storable Assembly	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	Storable Assembly	AIRBUS_E_DEXT_ValidationDate
Early Data Drop	Undefined	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	Undefined	AIRBUS_E_DEXT_ValidationDate
Early Data Drop	Specialized Item	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	Specialized Item	AIRBUS_E_DEXT_ValidationDate
Early Data Drop	FTA	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	FTA	AIRBUS_E_DEXT_ValidationDate
Early Data Drop	Master Geometry	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	Master Geometry	AIRBUS_E_DEXT_ValidationDate
Early Data Drop	SAM	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	SAM	AIRBUS_E_DEXT_ValidationDate
Early Data Drop	StandardPart	AIRBUS_E_DEXT_ValidationDate
Early Data Drop	StandardPart	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	Refer To	AIRBUS_E_DEXT_ValidationDate
Early Data Drop	Refer To	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	Electrical Design	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	Electrical Design	AIRBUS_E_DEXT_ValidationDate
Early Data Drop	EHI	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	EHI	AIRBUS_E_DEXT_ValidationDate
Early Data Drop	3DEQ	AIRBUS_E_DEXT_ValidationDate
Early Data Drop	3DEQ	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	3DEQ	AIRBUS_E_DEXT_RPTech
Early Data Drop	Dummy Non 3D CAD	AIRBUS_E_DEXT_ValidationDate
Early Data Drop	Dummy Non 3D CAD	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	Design Simulation	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	Design Simulation	AIRBUS_E_DEXT_ValidationDate
Early Data Drop	Project Definition	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	Project Definition	AIRBUS_E_DEXT_ValidationDate
Early Data Drop	Early Data Drop	AIRBUS_E_DEXT_Instance_EPASSY
Early Data Drop	Early Data Drop	AIRBUS_E_DEXT_ValidationDate
